ip_address,email_address,billing_state,user_agent,billing_postal,phone_number,EVENT_TIMESTAMP,billing_address,EVENT_LABEL
2.143.181.54,fake_grantamanda@example.com,FL,Opera/8.35.(Windows NT 6.2; ca-AD) Presto/2.9.182 Version/12.00,34774,(555)538 - 6119,2023-01-22T13:44:50Z,1303 Harris Highway Fake St.,legit
201.163.178.118,fake_johnhutchinson@example.com,OR,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/531.18.3 (KHTML, like Gecko) Version/4.0.5 Safari/531.18.3",33101,(555)571 - 7155,2022-05-07T00:56:46Z,232 Beck Harbor Fake St.,legit
4.172.149.13,fake_paul34@example.net,TN,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/10.3i3440.0 Mobile/48N491 Safari/536.2",34276,(555)119 - 1718,2022-03-17T08:06:37Z,50073 Harris Cape Fake St.,legit
109.220.111.5,fake_smithwilliam@example.org,TX,Opera/9.29.(Windows NT 6.2; hr-HR) Presto/2.9.175 Version/10.00,34581,(555)490 - 8263,2022-03-09T07:53:25Z,24175 Kristen Freeway Fake St.,legit
160.162.218.90,fake_bsmith@example.org,NC,"Mozilla/5.0 (iPad; CPU iPad OS 12_4 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/25.0.854.0 Mobile/35I210 Safari/532.0",33641,(555)248 - 2877,2022-08-23T21:34:27Z,1091 Bill Mission Fake St.,legit
223.40.13.25,fake_charles70@example.org,PA,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/532.9.6 (KHTML, like Gecko) Version/4.0 Safari/532.9.6",34545,(555)961 - 5477,2022-08-18T19:32:09Z,7946 Smith Island Fake St.,legit
138.146.150.169,fake_gibsonmichael@example.net,MO,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_0 rv:3.0; cmn-TW) AppleWebKit/534.31.3 (KHTML, like Gecko) Version/5.1 Safari/534.31.3",33064,(555)210 - 1906,2022-11-17T18:26:41Z,568 Conner Trafficway Fake St.,legit
56.120.7.140,fake_chelsea12@example.com,MI,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_2 rv:2.0; tt-RU) AppleWebKit/531.2.4 (KHTML, like Gecko) Version/4.0 Safari/531.2.4",33470,(555)302 - 7725,2022-07-10T00:48:51Z,345 Beth Fork Fake St.,legit
153.184.147.206,fake_jasmine03@example.com,LA,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2020-01-06 14:54:01 Firefox/3.6.19,33311,(555)405 - 7473,2023-01-27T04:53:22Z,23642 Robbins Mount Fake St.,legit
39.130.159.117,fake_kristinross@example.net,MI,Opera/8.80.(X11; Linux x86_64; kok-IN) Presto/2.9.175 Version/10.00,34658,(555)401 - 5465,2022-06-08T11:58:46Z,35849 John Hills Fake St.,legit
40.215.172.155,fake_baileylisa@example.org,NC,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/531.28.3 (KHTML, like Gecko) Version/5.0 Safari/531.28.3",33699,(555)492 - 9407,2022-05-11T02:52:13Z,8132 Anderson Mills Fake St.,legit
81.204.230.104,fake_jefferyfarrell@example.net,MD,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/5.0),33895,(555)367 - 5835,2022-07-30T20:48:37Z,2700 Stephen Rapids Fake St.,legit
59.157.144.1,fake_timothysmith@example.com,AZ,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; sid-ET) AppleWebKit/534.17.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6534.17.7",32931,(555)596 - 5579,2023-01-22T22:57:18Z,65898 Amy Estate Fake St.,fraud
107.77.37.4,fake_lloydsusan@example.net,AL,"Mozilla/5.0 (Linux; Android 5.0.2) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/37.0.872.0 Safari/534.1",33596,(555)463 - 8377,2022-07-29T19:03:11Z,223 White Ridges Fake St.,legit
101.78.173.79,fake_hartmansean@example.com,PA,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.1),32743,(555)993 - 2649,2022-03-19T04:48:44Z,195 Moran Plaza Fake St.,legit
156.54.232.229,fake_jennifer25@example.net,FL,Opera/9.79.(X11; Linux i686; eo-US) Presto/2.9.160 Version/12.00,32585,(555)110 - 3706,2023-02-12T06:53:12Z,2263 Kevin Burg Fake St.,legit
95.102.114.66,fake_morgan62@example.net,GA,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/55.0.881.0 Safari/536.2",34459,(555)168 - 6661,2022-08-05T21:52:33Z,3062 Jason Hill Fake St.,fraud
89.218.45.225,fake_william63@example.org,WA,Opera/9.45.(X11; Linux x86_64; ti-ER) Presto/2.9.164 Version/10.00,34002,(555)423 - 8753,2022-05-25T04:04:26Z,255 Christopher Neck Fake St.,legit
214.99.173.154,fake_katherinereynolds@example.org,NY,Opera/8.59.(Windows NT 6.2; ar-BH) Presto/2.9.168 Version/10.00,34298,(555)820 - 6196,2022-06-27T01:10:27Z,891 Palmer Park Fake St.,legit
170.214.24.129,fake_jeffreyweeks@example.org,WI,Opera/8.84.(X11; Linux x86_64; bn-BD) Presto/2.9.164 Version/11.00,34676,(555)325 - 1831,2022-06-13T06:30:05Z,019 Sheppard Pine Fake St.,legit
5.132.19.25,fake_jimenezjohn@example.net,LA,Mozilla/5.0 (Windows NT 5.0; yue-HK; rv:1.9.2.20) Gecko/2013-12-16 15:49:54 Firefox/3.8,34434,(555)482 - 3681,2022-08-07T18:20:13Z,7293 Jennifer Pine Fake St.,legit
104.47.73.56,fake_charles64@example.org,LA,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/534.24.6 (KHTML, like Gecko) Version/4.0 Safari/534.24.6",32722,(555)975 - 9555,2022-10-04T07:44:16Z,2331 Rogers Path Fake St.,legit
64.138.103.232,fake_karen31@example.com,FL,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; ss-ZA) AppleWebKit/535.23.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6535.23.3",33842,(555)978 - 5690,2022-04-20T21:24:42Z,38220 Sonya Road Fake St.,legit
40.215.172.155,fake_carolyn15@example.com,TX,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_7; rv:1.9.2.20) Gecko/2016-02-19 05:28:53 Firefox/3.8,34831,(555)256 - 3696,2022-12-22T21:43:23Z,894 Matthew Courts Fake St.,legit
148.227.26.250,fake_mistyhernandez@example.com,PA,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_5; rv:1.9.6.20) Gecko/2014-12-11 16:37:06 Firefox/3.8,34638,(555)183 - 8675,2022-09-13T00:58:06Z,4099 Nelson Cliffs Fake St.,legit
137.132.82.189,fake_aguirrelisa@example.org,IA,Opera/9.91.(Windows 95; ga-IE) Presto/2.9.182 Version/12.00,32050,(555)857 - 6231,2022-08-01T05:52:07Z,161 Haynes Underpass Fake St.,legit
105.16.230.22,fake_uphillips@example.com,AZ,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/20.0.849.0 Safari/532.2",32114,(555)361 - 2556,2022-06-15T04:08:23Z,8099 Melissa Union Fake St.,legit
129.244.9.78,fake_jacquelinebarry@example.net,NV,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2019-09-18 13:57:38 Firefox/3.8,32742,(555)638 - 8989,2022-11-24T00:58:06Z,143 Pena Port Fake St.,legit
120.78.107.178,fake_sandragillespie@example.net,TN,Opera/8.13.(X11; Linux x86_64; ga-IE) Presto/2.9.177 Version/12.00,34290,(555)227 - 3071,2022-12-22T01:59:52Z,85112 Brown Flat Fake St.,legit
28.229.27.121,fake_jramirez@example.net,LA,Opera/8.86.(X11; Linux i686; ms-MY) Presto/2.9.183 Version/10.00,32148,(555)236 - 9007,2022-04-25T20:30:20Z,49649 Kenneth Lock Fake St.,legit
112.46.11.94,fake_ashley99@example.org,FL,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/3.0),32875,(555)266 - 7590,2022-06-28T04:11:17Z,658 Patrick Lodge Fake St.,legit
16.171.176.114,fake_kingmario@example.net,WI,Opera/9.38.(X11; Linux x86_64; ak-GH) Presto/2.9.179 Version/12.00,34297,(555)420 - 8388,2022-03-31T01:23:40Z,996 Terri Groves Fake St.,legit
36.72.99.64,fake_bakermichael@example.net,NJ,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) FxiOS/18.4j7188.0 Mobile/18Z383 Safari/533.1",32067,(555)375 - 8259,2022-09-29T06:06:22Z,855 Julia Forks Fake St.,fraud
35.238.84.38,fake_devinkennedy@example.com,MO,Opera/9.59.(Windows NT 5.0; sc-IT) Presto/2.9.186 Version/10.00,34449,(555)475 - 7572,2022-06-18T02:29:06Z,1386 Robertson Valley Fake St.,legit
39.130.159.117,fake_julie74@example.com,OR,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; fo-FO) AppleWebKit/532.5.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6532.5.1",32424,(555)408 - 1469,2022-04-14T12:44:29Z,22119 Lee Track Fake St.,legit
219.9.65.13,fake_erik35@example.com,MO,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_7) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/42.0.849.0 Safari/532.0",32159,(555)906 - 8734,2023-01-30T07:07:17Z,5021 Baker Falls Fake St.,legit
132.247.221.90,fake_qpowell@example.net,WA,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/534.46.4 (KHTML, like Gecko) Version/5.0 Safari/534.46.4",33053,(555)836 - 8051,2022-08-28T20:09:18Z,0827 Thompson Bypass Fake St.,legit
204.61.200.228,fake_thompsonkelly@example.com,MI,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) CriOS/42.0.888.0 Mobile/32U515 Safari/534.1",33590,(555)949 - 8841,2022-03-21T14:48:01Z,465 Smith Lights Fake St.,legit
147.251.98.131,fake_thompsonchristopher@example.net,MO,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/13.0.827.0 Safari/535.0",32624,(555)609 - 8344,2022-06-06T01:44:20Z,4795 Samuel Burgs Fake St.,legit
114.215.122.7,fake_andrea92@example.com,WI,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_7) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/32.0.808.0 Safari/533.0",32541,(555)386 - 5377,2022-12-01T22:40:29Z,477 Melissa Row Fake St.,legit
95.182.61.171,fake_howardkaren@example.com,FL,Opera/9.69.(X11; Linux x86_64; mag-IN) Presto/2.9.173 Version/11.00,34216,(555)506 - 4563,2022-08-22T06:37:13Z,1570 Nathan Road Fake St.,legit
161.200.127.44,fake_williamsmichael@example.org,PA,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; mg-MG) AppleWebKit/533.15.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6533.15.7",34664,(555)154 - 8731,2022-05-10T02:26:24Z,5155 Michael Circle Fake St.,legit
134.207.183.101,fake_christophergardner@example.net,IA,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_8; rv:1.9.3.20) Gecko/2019-01-17 13:53:54 Firefox/13.0,33980,(555)745 - 8946,2022-12-21T21:06:53Z,301 Reyes Shores Fake St.,legit
109.219.117.182,fake_sabrina50@example.org,MI,Opera/8.71.(Windows NT 6.1; iw-IL) Presto/2.9.177 Version/11.00,33699,(555)962 - 8823,2022-07-25T15:25:36Z,24234 Stacey Gateway Fake St.,legit
218.208.175.56,fake_thomaskelly@example.net,TN,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/32.0.881.0 Safari/535.1",32186,(555)119 - 7258,2023-02-28T10:15:39Z,54452 Brent Court Fake St.,legit
103.150.106.12,fake_ibarnes@example.com,NY,Opera/8.75.(Windows CE; gez-ET) Presto/2.9.185 Version/11.00,34656,(555)308 - 8233,2022-07-22T20:10:08Z,45053 Allen Manors Fake St.,legit
217.112.18.115,fake_bbarnett@example.net,WI,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_1; rv:1.9.6.20) Gecko/2014-12-02 13:35:10 Firefox/5.0,34700,(555)636 - 3039,2022-06-12T05:22:35Z,12246 Cochran Fields Fake St.,legit
89.141.149.142,fake_darius62@example.org,OR,Mozilla/5.0 (Android 4.2.2; Mobile; rv:37.0) Gecko/37.0 Firefox/37.0,33694,(555)608 - 2332,2022-11-21T14:33:55Z,2678 Wilson Circle Fake St.,legit
217.106.48.3,fake_bentleylisa@example.org,PA,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/53.0.834.0 Safari/535.1",32027,(555)155 - 6972,2022-05-04T04:02:51Z,8621 Richards Drives Fake St.,legit
27.118.72.128,fake_hernandezkathleen@example.com,MO,"Mozilla/5.0 (Linux; Android 2.2.1) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/58.0.831.0 Safari/531.2",32148,(555)632 - 9133,2023-02-13T09:05:39Z,4039 Riley Grove Fake St.,legit
41.84.2.159,fake_bartondeborah@example.com,MO,Opera/8.84.(X11; Linux x86_64; sv-SE) Presto/2.9.162 Version/10.00,33605,(555)325 - 4869,2023-01-26T02:07:05Z,9044 Williams Lights Fake St.,legit
161.158.199.119,fake_virginia71@example.org,TX,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/5.0),34362,(555)850 - 8153,2023-03-04T04:28:55Z,559 Griffin Circle Fake St.,legit
187.112.148.228,fake_owenstimothy@example.com,ME,Mozilla/5.0 (Windows NT 6.0; doi-IN; rv:1.9.2.20) Gecko/2019-10-19 13:42:30 Firefox/6.0,32460,(555)190 - 4023,2022-10-01T14:49:22Z,7950 Christopher Mountain Fake St.,legit
176.17.27.249,fake_phillipscharles@example.net,TX,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_9; rv:1.9.5.20) Gecko/2014-04-26 00:14:33 Firefox/4.0,33108,(555)117 - 5382,2022-07-31T01:32:26Z,4634 Samantha Walk Fake St.,legit
173.172.109.105,fake_corylong@example.com,ME,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; gv-GB) AppleWebKit/534.37.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6534.37.3",33169,(555)767 - 9588,2023-02-22T00:46:36Z,0440 William Fields Fake St.,fraud
93.2.104.157,fake_paul42@example.org,CO,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) CriOS/16.0.864.0 Mobile/77S758 Safari/536.1",32094,(555)382 - 1996,2022-11-06T02:15:08Z,2826 Michelle Tunnel Fake St.,legit
150.70.116.47,fake_tiffany10@example.net,NV,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/11.9m7141.0 Mobile/02L401 Safari/532.2",34414,(555)127 - 6015,2022-12-30T15:13:06Z,971 Jeremiah Lock Fake St.,legit
178.189.4.113,fake_ivanphillips@example.org,OR,Opera/9.30.(Windows CE; hak-TW) Presto/2.9.174 Version/10.00,32405,(555)657 - 4913,2022-05-29T18:29:01Z,0223 Justin Lane Fake St.,legit
10.73.223.31,fake_jennifer14@example.org,NC,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; mhr-RU) AppleWebKit/533.38.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6533.38.7",32832,(555)829 - 4150,2022-03-11T19:08:29Z,5347 Kathleen Extensions Fake St.,legit
148.227.26.250,fake_linstephanie@example.com,TX,Opera/9.44.(Windows NT 5.1; de-LU) Presto/2.9.190 Version/12.00,33539,(555)573 - 4055,2022-06-21T06:36:17Z,8424 Waller Haven Fake St.,legit
40.236.92.171,fake_cmueller@example.net,WI,Mozilla/5.0 (Windows NT 5.2; vi-VN; rv:1.9.1.20) Gecko/2011-03-26 12:51:42 Firefox/9.0,32628,(555)881 - 4115,2022-07-01T09:28:16Z,9679 Yang Island Fake St.,legit
112.63.23.174,fake_cristiandaniel@example.org,PA,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/532.33.3 (KHTML, like Gecko) Version/4.0.2 Safari/532.33.3",34989,(555)685 - 9556,2022-11-03T09:47:28Z,6602 Rebecca Radial Fake St.,legit
130.75.249.181,fake_zmonroe@example.net,NM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; byn-ER) AppleWebKit/533.7.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6533.7.5",32555,(555)868 - 9708,2022-09-10T05:48:00Z,5612 Bryan Course Fake St.,legit
129.36.9.180,fake_josephchavez@example.com,MI,"Mozilla/5.0 (iPad; CPU iPad OS 7_1_2 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) CriOS/40.0.832.0 Mobile/75R936 Safari/534.1",34277,(555)777 - 6698,2022-10-03T09:27:18Z,4513 Shaw Lake Fake St.,legit
218.250.248.217,fake_francisfrench@example.com,MO,Mozilla/5.0 (Android 2.3.4; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,32183,(555)847 - 4081,2022-12-12T15:35:40Z,5051 Stewart Ramp Fake St.,legit
206.13.81.107,fake_kellyrussell@example.net,PA,Opera/8.28.(Windows NT 5.1; ff-SN) Presto/2.9.188 Version/11.00,32743,(555)389 - 3729,2023-03-05T10:44:56Z,182 Michael Wall Fake St.,legit
118.217.179.62,fake_laurathomas@example.net,SC,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/52.0.829.0 Mobile/24Y360 Safari/533.0",32743,(555)752 - 4726,2023-01-13T06:24:53Z,8765 Justin Center Fake St.,fraud
193.46.201.189,fake_margaret75@example.org,AZ,Mozilla/5.0 (Windows NT 5.1; aa-DJ; rv:1.9.1.20) Gecko/2011-08-08 09:04:13 Firefox/3.6.14,34744,(555)263 - 3993,2023-02-04T02:40:25Z,28447 Nash Common Fake St.,fraud
112.124.171.243,fake_zbrown@example.com,WY,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2010-05-25 03:10:25 Firefox/3.8,34936,(555)644 - 7091,2023-02-09T14:15:31Z,5090 John Plaza Fake St.,legit
40.210.71.46,fake_laurie41@example.net,TX,"Mozilla/5.0 (Linux; Android 2.3.5) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/51.0.817.0 Safari/531.0",34949,(555)901 - 1320,2022-12-19T23:44:06Z,2952 Smith Crossing Fake St.,legit
95.128.233.126,fake_travis78@example.org,NC,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2019-06-02 13:00:33 Firefox/3.6.15,33729,(555)817 - 1433,2022-12-22T14:48:50Z,730 Lane Meadow Fake St.,legit
122.255.58.187,fake_christophergardner@example.net,TN,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/3.0),33476,(555)441 - 2582,2022-05-14T11:13:06Z,55099 Brian Prairie Fake St.,legit
51.172.20.74,fake_amberhayes@example.org,PA,Mozilla/5.0 (Windows NT 6.1; tt-RU; rv:1.9.1.20) Gecko/2014-06-02 15:45:11 Firefox/3.8,34059,(555)203 - 3494,2022-09-09T19:33:44Z,68476 John Unions Fake St.,legit
219.50.24.178,fake_troy27@example.org,WI,Mozilla/5.0 (Windows NT 6.1; bg-BG; rv:1.9.1.20) Gecko/2019-05-21 15:52:22 Firefox/3.6.1,34969,(555)308 - 2261,2022-11-26T20:57:39Z,887 Tucker Mall Fake St.,legit
56.216.157.38,fake_qlopez@example.net,TN,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/19.0.813.0 Safari/534.0",33596,(555)963 - 4463,2022-08-12T18:59:04Z,787 Beasley Fork Fake St.,legit
47.253.228.62,fake_cgreen@example.com,WI,Opera/8.81.(X11; Linux i686; gez-ER) Presto/2.9.171 Version/12.00,32682,(555)776 - 2511,2022-09-28T13:49:55Z,1608 Stephanie Trace Fake St.,legit
182.11.173.206,fake_lsanders@example.org,NC,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_0) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/54.0.823.0 Safari/533.1",33487,(555)932 - 8614,2022-03-09T13:30:02Z,7934 Yates Bridge Fake St.,legit
172.23.85.20,fake_dbradshaw@example.com,PA,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/535.32.1 (KHTML, like Gecko) Version/4.0 Safari/535.32.1",34657,(555)630 - 2688,2022-10-07T07:43:30Z,279 Scott Trafficway Fake St.,legit
16.171.176.114,fake_rebeccawillis@example.org,NC,Mozilla/5.0 (Android 4.1.2; Mobile; rv:52.0) Gecko/52.0 Firefox/52.0,33124,(555)856 - 4152,2023-02-20T12:43:37Z,0775 David Landing Fake St.,legit
193.133.254.251,fake_lelinda@example.net,NC,Opera/9.49.(X11; Linux i686; ss-ZA) Presto/2.9.168 Version/10.00,32155,(555)626 - 2606,2022-06-08T20:41:08Z,33811 Ethan Ports Fake St.,legit
152.66.12.28,fake_raymondrobertson@example.com,OR,Opera/8.87.(Windows NT 6.2; sk-SK) Presto/2.9.162 Version/10.00,33119,(555)744 - 7056,2022-08-13T19:58:35Z,43321 Davis Orchard Fake St.,legit
134.14.213.18,fake_usmith@example.net,WI,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/12.6b5498.0 Mobile/94I605 Safari/536.2",33008,(555)428 - 4382,2022-11-20T19:30:39Z,0196 Pamela Canyon Fake St.,legit
113.111.204.200,fake_william56@example.org,PA,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/10.5z4503.0 Mobile/12T695 Safari/536.2",34463,(555)351 - 1627,2022-08-10T22:01:13Z,2955 Hamilton Extension Fake St.,legit
134.233.233.56,fake_gonzalezbrian@example.net,WI,Opera/9.97.(Windows NT 5.0; lt-LT) Presto/2.9.166 Version/10.00,34069,(555)601 - 4352,2022-08-11T09:45:40Z,181 Martin Forge Fake St.,legit
96.129.114.188,fake_vwilliams@example.org,NC,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/534.49.2 (KHTML, like Gecko) Version/5.0.5 Safari/534.49.2",33937,(555)899 - 6925,2022-06-29T06:48:56Z,250 Holly Mall Fake St.,legit
39.73.196.11,fake_dcarr@example.org,GA,Mozilla/5.0 (Android 5.1.1; Mobile; rv:38.0) Gecko/38.0 Firefox/38.0,34745,(555)161 - 4998,2022-10-05T04:42:51Z,6414 Sullivan Corner Fake St.,fraud
24.206.27.137,fake_richardpeterson@example.org,LA,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/534.15.7 (KHTML, like Gecko) Version/4.0.5 Safari/534.15.7",33605,(555)709 - 8155,2022-11-27T22:51:03Z,40748 Sandoval Green Fake St.,legit
182.227.71.19,fake_redwards@example.com,TX,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2017-02-21 08:58:03 Firefox/11.0,32004,(555)304 - 9357,2023-01-27T17:30:41Z,956 Meyer Stravenue Fake St.,legit
96.143.76.4,fake_robertatkinson@example.net,TX,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; sd-PK) AppleWebKit/533.24.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6533.24.6",34530,(555)167 - 6610,2022-10-09T22:11:27Z,1556 Kramer Via Fake St.,legit
75.156.194.69,fake_cindysampson@example.com,OR,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6 rv:3.0; ks-IN) AppleWebKit/533.18.6 (KHTML, like Gecko) Version/4.1 Safari/533.18.6",32747,(555)774 - 1381,2022-03-30T04:15:58Z,402 Monique Inlet Fake St.,legit
185.166.175.185,fake_debra85@example.com,MI,Opera/9.22.(X11; Linux x86_64; hu-HU) Presto/2.9.173 Version/12.00,33734,(555)174 - 7867,2022-05-16T05:06:26Z,542 Nancy Forges Fake St.,legit
